id;condition;phi;belief_ht_R;causal_HT;GHI;mean_onl_taste;mean_onl_health;base_tasty;base_ntasty;base_healthy;base_unhealthy
1;2;-0,08908708063747479;0,18;42,0;2,000;3,50000000000000;3,56521739130435;31;14;22;23
2;1;-0,04279604925109130;-0,08;41,0;6,125;3,47826086956522;2,54347826086957;30;15;20;25
3;3;0,50251890762960605;0,15;33,0;3,875;2,97777777777778;3,06666666666667;32;12;29;15
4;3;-0,08759772326742848;-0,09;62,5;5,000;2,91111111111111;3,00000000000000;21;23;18;26
5;2;-0,17118419700436519;0,07;47,5;3,500;3,52173913043478;3,50000000000000;28;17;26;19
6;1;-0,01524808410329653;-0,09;65,0;4,750;3,39130434782609;2,58695652173913;28;17;19;26
7;3;-0,19191919191919191;0,20;45,0;3,125;2,97777777777778;3,00000000000000;20;24;14;30
8;2;-0,10482848367219183;0,07;48,0;5,500;3,47826086956522;3,56521739130435;22;23;28;17
9;1;-0,35954624775333738;-0,26;52,0;5,625;3,45652173913043;2,54347826086957;27;18;16;29
10;3;0,10050378152592120;-0,11;71,5;6,250;2,97777777777778;3,02222222222222;17;27;22;22
11;1;-0,28867513459481292;-0,22;75,0;4,750;3,41304347826087;2,52173913043478;35;10;15;30
12;3;-0,20412414523193154;-0,12;52,5;4,875;2,97777777777778;3,04444444444444;29;15;18;26
13;2;-0,15309310892394862;0,16;44,5;3,750;3,52173913043478;3,52173913043478;30;15;27;18
14;1;-0,17118419700436519;0,23;71,5;5,125;3,45652173913043;2,54347826086957;25;20;15;30
15;1;0,00000000000000000;0,00;44,5;2,625;3,43478260869565;2,56521739130435;25;20;17;28
16;2;0,09017053186823003;0,37;31,5;4,875;3,47826086956522;3,56521739130435;28;17;25;20
17;3;-0,30151134457776363;0,04;45,0;4,500;2,93333333333333;3,04444444444444;15;29;18;26
18;2;0,00000000000000000;-0,07;40,5;4,500;3,56521739130435;3,47826086956522;23;22;28;17
19;3;0,04279604925109130;0,09;30,5;5,000;2,95555555555556;3,06666666666667;25;19;24;20
20;3;-0,31448545101657549;0,00;53,0;4,625;2,95555555555556;3,04444444444444;27;17;28;16
21;2;0,06052275326688024;0,19;39,5;5,125;3,45652173913043;3,50000000000000;35;10;32;13
22;3;-0,10050378152592120;0,09;50,0;4,750;2,97777777777778;3,00000000000000;20;24;19;25
23;1;-0,06579516949597690;-0,05;48,5;6,125;3,50000000000000;2,50000000000000;27;18;17;28
24;3;-0,17118419700436519;-0,14;54,0;4,625;3,02222222222222;3,00000000000000;14;30;20;24
25;2;-0,30151134457776363;0,24;40,0;3,875;3,52173913043478;3,54347826086957;22;23;25;20
26;2;-0,41931393468876732;-0,07;53,5;4,875;3,47826086956522;3,52173913043478;32;13;18;27
27;1;0,00000000000000000;0,17;50,5;4,000;3,45652173913043;2,54347826086957;32;13;26;19
28;1;-0,20412414523193154;-0,11;39,5;2,500;3,47826086956522;2,54347826086957;30;15;18;27
29;3;0,00000000000000000;0,10;45,5;3,750;3,00000000000000;3,02222222222222;22;22;25;19
30;1;0,08908708063747479;-0,18;58,0;3,875;3,45652173913043;2,56521739130435;23;22;15;30
31;2;-0,04166666666666666;0,29;51,0;3,125;3,47826086956522;3,54347826086957;23;22;25;20
32;1;-0,35634832254989918;-0,11;42,5;4,250;3,41304347826087;2,56521739130435;31;14;18;27
33;3;-0,11903822913264524;0,28;59,5;4,625;2,97777777777778;3,04444444444444;26;18;19;25
34;3;-0,20000000000000001;-0,18;36,0;5,375;2,97777777777778;3,04444444444444;19;25;28;16
35;3;0,21821789023599239;-0,08;36,5;3,375;2,95555555555556;3,02222222222222;24;20;22;22
36;3;-0,53084344845073062;0,36;48,5;6,375;2,93333333333333;3,02222222222222;18;26;16;28
37;2;-0,15352206215727943;0,12;44,0;4,000;3,52173913043478;3,52173913043478;29;16;25;20
38;2;0,00000000000000000;-0,07;30,0;3,000;3,52173913043478;3,52173913043478;28;17;18;27
39;3;-0,10482848367219183;-0,18;52,5;3,375;2,97777777777778;3,02222222222222;19;25;20;24
40;3;0,14002800840280097;0,24;62,5;4,750;2,97777777777778;3,00000000000000;34;10;30;14
41;2;0,20412414523193154;0,33;66,5;4,125;3,32608695652174;3,67391304347826;29;16;33;12
42;1;0,08206099398622181;0,20;41,5;5,500;3,45652173913043;2,54347826086957;29;16;27;18
43;2;0,12679481277804042;0,16;55,5;4,125;3,50000000000000;3,54347826086957;30;15;26;19
44;1;0,47140452079103173;0,39;92,5;4,625;4,02173913043478;3,15217391304348;35;10;27;18
45;2;0,06699226892923711;0,42;52,0;4,375;3,50000000000000;3,52173913043478;27;18;24;21
46;1;0,20000000000000001;0,21;37,0;4,250;3,45652173913043;2,52173913043478;20;25;20;25
