id,condition,ht,env
1,2,0.20964500486305881,unhealthy
2,3,0.7431127315158099,balanced
3,2,0.27132653376099686,unhealthy
4,1,0.5836335183754732,healthy
5,1,0.8307148175115224,healthy
6,3,0.71175025521908,balanced
7,1,0.44104539514069363,healthy
8,1,0.27973111754832936,healthy
9,3,0.2193839791580962,balanced
10,2,0.5111436957941329,unhealthy
11,2,0.25969119703271293,unhealthy
12,3,0.5457404737102541,balanced
13,1,0.6667814507262199,healthy
14,2,0.3554439145734275,unhealthy
15,3,0.7480471378324167,balanced
16,2,0.3647006360958822,unhealthy
17,1,0.8139457801164285,healthy
18,2,0.5163822704122146,unhealthy
19,3,0.6061058220320399,balanced
20,3,0.5357683675575177,balanced
21,2,0.5320150492038789,unhealthy
22,3,0.6468695694261186,balanced
23,2,0.11558390317871231,unhealthy
24,1,0.4359376009623693,healthy
25,1,0.11776000694462163,healthy
26,1,0.5858539323871108,healthy
27,3,0.6211024060998631,balanced
28,1,0.7564806803900218,healthy
29,2,0.26012883985918267,unhealthy
30,3,0.6649659828522119,balanced
31,3,0.6377639727096249,balanced
32,1,0.6289556679945285,healthy
33,2,0.5,unhealthy
34,1,0.3404538730110884,healthy
35,3,0.6675,balanced
36,2,0.15966851383808567,unhealthy
37,1,0.8107385296552296,healthy
38,2,0.38340774380544673,unhealthy
39,3,0.5102240773897779,balanced
40,1,0.5209763436575031,healthy
41,3,0.6216418049020135,balanced
42,2,0.5961544198171665,unhealthy
43,3,0.5116666666666667,balanced
44,2,0.42871304155323325,unhealthy
45,1,0.743636512148266,healthy
46,2,0.654638895846168,unhealthy
47,3,0.4230978001343393,balanced
48,3,0.5961179324387109,balanced
49,1,0.8786181984930741,healthy
50,3,0.5795300472887331,balanced
51,2,0.32286702535108186,unhealthy
52,1,0.6838500449318318,healthy
53,2,0.25679353074291467,unhealthy
54,1,0.5327965766837998,healthy
55,2,0.28372633565392424,unhealthy
56,3,0.6910277847350569,balanced
57,1,0.17873496324246863,healthy
58,3,0.30402704799167285,balanced
59,2,0.6625279177039791,unhealthy
60,1,0.6917249877756039,healthy
61,2,0.84398219825397,unhealthy
62,3,0.6203934773687901,balanced
63,3,0.5008333333333334,balanced
64,3,0.5709382472194656,balanced
65,1,0.6901971479112525,healthy
66,2,0.3857063090719168,unhealthy
67,1,0.3481549220695254,healthy
68,2,0.1599074074074074,unhealthy
69,1,0.39195861825602285,healthy
70,3,0.7345163429509035,balanced
71,2,0.18466316901152408,unhealthy
72,3,0.20202553213469682,balanced
73,2,0.7236174217305732,unhealthy
74,3,0.6476180990286775,balanced
75,1,0.6946012820064729,healthy
76,2,0.4877613373800901,unhealthy
77,3,0.23139286106437956,balanced
78,1,0.7280329640208383,healthy
79,1,0.48770609624891714,healthy
80,3,0.445443527900645,balanced
81,1,0.6977136736186411,healthy
82,2,0.5372877598405277,unhealthy
83,2,0.7623174722442245,unhealthy
84,1,0.6815290321600109,healthy
85,2,0.4486281319972368,unhealthy
86,2,0.7584928542430434,unhealthy
87,1,0.830771540613638,healthy
88,3,0.2915789461623034,balanced
89,3,0.4281821757291899,balanced
90,3,0.5879173964527716,balanced
91,2,0.3884753462658386,unhealthy
92,2,0.298950805403267,unhealthy
93,1,0.8132395393188899,healthy
94,3,0.471921596651759,balanced
95,2,0.6438004775704069,unhealthy
96,1,0.4474599699749781,healthy
97,3,0.4490512470251469,balanced
98,1,0.2910110474311498,healthy
99,1,0.8270595297001905,healthy
100,3,0.5714300955637489,balanced
101,2,0.8146740312628558,unhealthy
102,2,0.1225672217930861,unhealthy
103,1,0.5612650012158089,healthy
104,3,0.9023627290156842,balanced
105,3,0.6799659828522119,balanced
106,3,0.3641263754009479,balanced
107,2,0.26883966570071516,unhealthy
108,1,0.6887679486731395,healthy
109,3,0.6721865208571692,balanced
110,2,0.4364154947943192,unhealthy
111,2,0.298422584373066,unhealthy
112,1,0.5637981155203655,healthy
113,1,0.3875494203399127,healthy
114,1,0.6216734948103468,healthy
115,3,0.3386599164386005,balanced
116,2,0.6479116882054754,unhealthy
117,1,0.3826607571942034,healthy
118,3,0.7291521922795672,balanced
119,2,0.6363527217201722,unhealthy
120,1,0.32113588558490214,healthy
121,3,0.6152590335160797,balanced
122,3,0.4426615248423828,balanced
123,3,0.4883910431540932,balanced
124,2,0.25731609921169885,unhealthy
125,1,0.6103657692357538,healthy
126,2,0.4672717194096945,unhealthy
127,1,0.77691090506255,healthy
128,1,0.21708536753061736,healthy
129,2,0.21067569195008012,unhealthy
130,3,0.4057812148131093,balanced
131,1,0.6214223400883117,healthy
132,3,0.5148434321313423,balanced
133,1,0.5136150922857406,healthy
134,3,0.5898949112329419,balanced
135,2,0.4490619526604213,unhealthy
136,2,0.4189814814814815,unhealthy
137,1,0.3035328944390042,healthy
138,1,0.826314556807838,healthy
139,2,0.8540994448735806,unhealthy
140,3,0.7729967635988649,balanced
141,3,0.5147011365235633,balanced
142,2,0.44447984266733587,unhealthy
143,1,0.5928237918950995,healthy
144,2,0.19312288103032083,unhealthy
145,3,0.43665506204676985,balanced
146,1,0.6738083380715612,healthy
147,2,0.1986252849226895,unhealthy
148,3,0.32777047790321523,balanced
149,3,0.38999433047536863,balanced
150,3,0.5530617172533436,balanced
151,2,0.25410821846777565,unhealthy
152,1,0.7728427559556852,healthy
153,1,0.5580189805014032,healthy
154,2,0.42690776823445437,unhealthy
155,2,0.2384158569101988,unhealthy
156,1,0.6295228609334393,healthy
