id,condition,ht,env
1,2,0.6799999999999999,healthy
2,1,0.42,unhealthy
3,3,0.65,balanced
4,3,0.41000000000000003,balanced
5,2,0.5700000000000001,healthy
6,1,0.41000000000000003,unhealthy
7,3,0.7,balanced
8,2,0.5700000000000001,healthy
9,1,0.24,unhealthy
10,3,0.39,balanced
11,1,0.28,unhealthy
12,3,0.38,balanced
13,2,0.66,healthy
14,1,0.73,unhealthy
15,1,0.5,unhealthy
16,2,0.87,healthy
17,3,0.54,balanced
18,2,0.43,healthy
19,3,0.59,balanced
20,3,0.5,balanced
21,2,0.69,healthy
22,3,0.59,balanced
23,1,0.45,unhealthy
24,3,0.36,balanced
25,2,0.74,healthy
26,2,0.43,healthy
27,1,0.67,unhealthy
28,1,0.39,unhealthy
29,3,0.6,balanced
30,1,0.32,unhealthy
31,2,0.79,healthy
32,1,0.39,unhealthy
33,3,0.78,balanced
34,3,0.32,balanced
35,3,0.42,balanced
36,3,0.86,balanced
37,2,0.62,healthy
38,2,0.43,healthy
39,3,0.32,balanced
40,3,0.74,balanced
41,2,0.8300000000000001,healthy
42,1,0.7,unhealthy
43,2,0.66,healthy
44,1,0.89,unhealthy
45,2,0.9199999999999999,healthy
46,1,0.71,unhealthy
47,1,0.25,unhealthy
48,3,0.36,balanced
49,2,0.59,healthy
50,1,0.36,unhealthy
51,2,0.65,healthy
52,2,0.32,healthy
53,1,0.07,unhealthy
54,2,0.63,healthy
55,3,0.46,balanced
56,3,0.48,balanced
57,3,0.5700000000000001,balanced
58,1,0.3,unhealthy
59,1,0.39,unhealthy
60,3,0.56,balanced
61,3,0.96,balanced
62,2,0.74,healthy
63,3,0.16999999999999998,balanced
64,3,0.5,balanced
65,3,0.4,balanced
66,1,0.94,unhealthy
67,1,0.21999999999999997,unhealthy
68,3,0.6,balanced
69,2,0.39,healthy
70,1,0.5,unhealthy
71,1,0.37,unhealthy
72,2,0.71,healthy
73,3,0.78,balanced
74,3,0.6,balanced
75,1,0.72,unhealthy
76,3,0.41000000000000003,balanced
77,3,0.9299999999999999,balanced
78,1,0.5,unhealthy
79,3,0.5700000000000001,balanced
80,3,0.48,balanced
81,1,0.15999999999999998,unhealthy
82,2,0.65,healthy
83,1,0.37,unhealthy
84,3,0.33999999999999997,balanced
85,2,0.35,healthy
86,3,0.45,balanced
87,1,0.5700000000000001,unhealthy
88,1,0.25,unhealthy
89,3,0.6,balanced
90,1,0.49,unhealthy
91,1,0.41000000000000003,unhealthy
92,3,0.61,balanced
93,1,0.32,unhealthy
94,2,0.39,healthy
95,3,0.44,balanced
96,2,0.31,healthy
97,3,0.6799999999999999,balanced
98,2,0.66,healthy
99,1,0.35,unhealthy
100,3,0.42,balanced
101,2,0.5,healthy
102,3,0.61,balanced
103,2,0.33999999999999997,healthy
104,3,0.29000000000000004,balanced
105,1,0.36,unhealthy
106,3,0.44,balanced
107,1,0.7,unhealthy
108,2,0.73,healthy
109,2,0.86,healthy
110,3,0.5700000000000001,balanced
111,1,0.5,unhealthy
113,1,0.5,unhealthy
114,1,0.67,unhealthy
115,1,0.030000000000000027,unhealthy
116,3,0.76,balanced
117,3,0.3,balanced
118,1,0.88,unhealthy
119,1,0.39,unhealthy
120,2,0.69,healthy
121,1,0.29000000000000004,unhealthy
122,1,0.49,unhealthy
123,1,0.21000000000000002,unhealthy
124,1,0.25,unhealthy
125,3,0.5700000000000001,balanced
126,3,0.5,balanced
127,1,0.16999999999999998,unhealthy
128,3,0.88,balanced
129,1,0.61,unhealthy
130,1,0.16999999999999998,unhealthy
131,2,0.6,healthy
132,1,0.8400000000000001,unhealthy
133,3,0.73,balanced
134,2,0.36,healthy
135,3,0.7,balanced
