env,learning_rate,bias,mean_ht,std_ht
healthy,0.0,0.0,0.5018003271873523,0.15690951531028574
healthy,0.0,0.1,0.4963238746451426,0.13684818844927288
healthy,0.0,0.2,0.49590116231846737,0.14840989134190022
healthy,0.0,0.3,0.5090387878531359,0.15548326180099373
healthy,0.0,0.4,0.5060656611762746,0.1462093040998363
healthy,0.0,0.5,0.507504177195334,0.15538567214776167
healthy,0.0,0.6,0.4983693219271526,0.15138975038391309
healthy,0.0,0.7,0.5005129334318796,0.14435144609020303
healthy,0.0,0.8,0.49666165059441364,0.15702797315260372
healthy,0.0,0.9,0.4992341322467623,0.14505442697136184
healthy,0.0,1.0,0.5023154718318845,0.15092389152434565
healthy,0.1,0.0,0.36066574421136166,0.05362979548918665
healthy,0.1,0.1,0.3842413597259985,0.05514194597096727
healthy,0.1,0.2,0.4092816328437392,0.052587935898033844
healthy,0.1,0.3,0.43265202993430063,0.05290594626799428
healthy,0.1,0.4,0.4565013810381417,0.05522859091896374
healthy,0.1,0.5,0.4827931448225618,0.05506493662128962
healthy,0.1,0.6,0.507677935857544,0.05514328460741568
healthy,0.1,0.7,0.531443938768101,0.055000618363268604
healthy,0.1,0.8,0.5553368031179255,0.056306817293447546
healthy,0.1,0.9,0.5784703960493275,0.05712681141153895
healthy,0.1,1.0,0.6041774935673181,0.062217854879225244
healthy,0.2,0.0,0.3411918930962721,0.0518760960550932
healthy,0.2,0.1,0.3683177882866687,0.05049142106310099
healthy,0.2,0.2,0.3959345019511574,0.04903177647927989
healthy,0.2,0.3,0.42324189984677524,0.05100939066400227
healthy,0.2,0.4,0.45130111726385674,0.05643086441578784
healthy,0.2,0.5,0.47885948096692693,0.054387034690793416
healthy,0.2,0.6,0.5060260856662375,0.05464543437668232
healthy,0.2,0.7,0.5346516906260799,0.05878918310537685
healthy,0.2,0.8,0.5615343654399565,0.0565667139837135
healthy,0.2,0.9,0.5895320383642533,0.06051426430469747
healthy,0.2,1.0,0.6160947143370147,0.05927908927201765
healthy,0.3,0.0,0.3375987588656561,0.049131665722477756
healthy,0.3,0.1,0.3670117238564429,0.05144211173766902
healthy,0.3,0.2,0.3945265645470997,0.0494181273842535
healthy,0.3,0.3,0.42248889583195337,0.04869930291100991
healthy,0.3,0.4,0.4504731293742788,0.054897280915192484
healthy,0.3,0.5,0.47846906275050005,0.052882412958166376
healthy,0.3,0.6,0.5065537237484693,0.05205469561409299
healthy,0.3,0.7,0.5342902660760016,0.057042401047504944
healthy,0.3,0.8,0.5617957736196838,0.05357013836936304
healthy,0.3,0.9,0.5913175951572378,0.059625183444852965
healthy,0.3,1.0,0.6193461422745752,0.05978531096249237
