env,bias,mae,ks,sim_ht,n_agents
balanced,0.0,0.13050670724406024,0.6538461538461539,"[[0.39419218]
 [0.43988333]
 [0.42697976]
 [0.25155172]
 [0.56676587]
 [0.65448878]
 [0.41995846]
 [0.45410502]
 [0.61781933]
 [0.5792873 ]
 [0.56730661]
 [0.67019703]
 [0.61723198]
 [0.4860565 ]
 [0.60561426]
 [0.39018019]
 [0.33111017]
 [0.58375979]
 [0.43333886]
 [0.45009246]
 [0.53350418]
 [0.68552059]
 [0.5552064 ]
 [0.51744211]
 [0.39165703]
 [0.56414288]
 [0.54475655]
 [0.64952626]
 [0.61781971]
 [0.51686195]
 [0.5102541 ]
 [0.46000109]
 [0.46705567]
 [0.40466457]
 [0.57657872]
 [0.30361858]
 [0.38476299]
 [0.37076219]
 [0.52480332]
 [0.45461683]
 [0.54566144]
 [0.49061062]
 [0.60580668]
 [0.52065037]
 [0.38875139]
 [0.54205655]
 [0.6058621 ]
 [0.21896277]
 [0.38600035]
 [0.54036723]
 [0.53718708]
 [0.5487754 ]]",52
balanced,0.1,0.13061605511903285,0.6538461538461539,"[[0.6014374 ]
 [0.55514431]
 [0.52268674]
 [0.49814991]
 [0.45157032]
 [0.48026427]
 [0.48410768]
 [0.63540331]
 [0.45812013]
 [0.61801516]
 [0.60098143]
 [0.46455904]
 [0.36478173]
 [0.43436382]
 [0.44162448]
 [0.48141256]
 [0.37749476]
 [0.52839141]
 [0.28648478]
 [0.45890511]
 [0.47736261]
 [0.71873463]
 [0.4310528 ]
 [0.40047481]
 [0.39901903]
 [0.4781674 ]
 [0.46099573]
 [0.36966372]
 [0.46449227]
 [0.4840641 ]
 [0.41171733]
 [0.37747832]
 [0.51854213]
 [0.4098813 ]
 [0.60667855]
 [0.47731285]
 [0.37779102]
 [0.5581745 ]
 [0.45859147]
 [0.43971095]
 [0.48516298]
 [0.57093893]
 [0.72051005]
 [0.56879809]
 [0.54169733]
 [0.67574368]
 [0.6785874 ]
 [0.49284588]
 [0.51657918]
 [0.48478837]
 [0.55631211]
 [0.52991962]]",52
balanced,0.2,0.12724864981385473,0.6346153846153846,"[[0.51074684]
 [0.59327298]
 [0.58339848]
 [0.49854474]
 [0.44751722]
 [0.48601911]
 [0.56112645]
 [0.48554525]
 [0.49247388]
 [0.54976835]
 [0.44391127]
 [0.44757087]
 [0.52002559]
 [0.52478026]
 [0.37989279]
 [0.54523434]
 [0.51873718]
 [0.47923596]
 [0.51245073]
 [0.52898958]
 [0.41124586]
 [0.55446512]
 [0.57406492]
 [0.52142064]
 [0.61736578]
 [0.48598614]
 [0.55015244]
 [0.4990835 ]
 [0.49908694]
 [0.44350516]
 [0.30764113]
 [0.62329496]
 [0.54634789]
 [0.50656266]
 [0.4752243 ]
 [0.54823934]
 [0.51790791]
 [0.56128335]
 [0.51934146]
 [0.41189447]
 [0.51177714]
 [0.56477688]
 [0.26607046]
 [0.5460288 ]
 [0.57230828]
 [0.51990904]
 [0.37886765]
 [0.5800366 ]
 [0.3789877 ]
 [0.66324898]
 [0.62705643]
 [0.62113314]]",52
balanced,0.3,0.1311733523102567,0.6538461538461539,"[[0.51621363]
 [0.55931031]
 [0.45811063]
 [0.39386881]
 [0.48043479]
 [0.48377493]
 [0.44140805]
 [0.45840227]
 [0.54879302]
 [0.54403647]
 [0.57466128]
 [0.52923396]
 [0.5116687 ]
 [0.38082092]
 [0.36405495]
 [0.57411592]
 [0.54919902]
 [0.54386704]
 [0.48240096]
 [0.45437171]
 [0.58835384]
 [0.49139123]
 [0.4873789 ]
 [0.39920714]
 [0.57521433]
 [0.3511067 ]
 [0.45656457]
 [0.59506339]
 [0.70076446]
 [0.50754212]
 [0.6364288 ]
 [0.41720378]
 [0.41752541]
 [0.47501894]
 [0.54465882]
 [0.48608335]
 [0.48239737]
 [0.38951217]
 [0.5156591 ]
 [0.49999859]
 [0.48233288]
 [0.51563691]
 [0.51199335]
 [0.333253  ]
 [0.54338111]
 [0.4092328 ]
 [0.54104268]
 [0.3307589 ]
 [0.45564491]
 [0.65195725]
 [0.57059275]
 [0.57985734]]",52
balanced,0.4,0.12937270784157623,0.6346153846153846,"[[0.40841409]
 [0.53547633]
 [0.52031806]
 [0.48378846]
 [0.48900157]
 [0.40715306]
 [0.35535932]
 [0.67210398]
 [0.53713817]
 [0.6062532 ]
 [0.54883415]
 [0.48672022]
 [0.53547962]
 [0.43596606]
 [0.54166157]
 [0.51416878]
 [0.51202641]
 [0.46120065]
 [0.51205691]
 [0.55096721]
 [0.48807197]
 [0.40106055]
 [0.48209858]
 [0.48477874]
 [0.48926009]
 [0.51327734]
 [0.48703901]
 [0.4330678 ]
 [0.51366313]
 [0.47948096]
 [0.50899425]
 [0.38269023]
 [0.49247222]
 [0.46098563]
 [0.46120115]
 [0.46491185]
 [0.56672562]
 [0.58531324]
 [0.48850837]
 [0.62004159]
 [0.53903581]
 [0.53910966]
 [0.51307005]
 [0.59113975]
 [0.46125984]
 [0.45828977]
 [0.45825948]
 [0.51356273]
 [0.56667746]
 [0.45951225]
 [0.59201863]
 [0.49364475]]",52
balanced,0.5,0.12865595841260563,0.6346153846153846,"[[0.53528251]
 [0.4884208 ]
 [0.46696708]
 [0.46791654]
 [0.4844323 ]
 [0.53223136]
 [0.53515162]
 [0.49275768]
 [0.44274872]
 [0.55486111]
 [0.44243307]
 [0.44593465]
 [0.5899559 ]
 [0.44355784]
 [0.51305258]
 [0.53412177]
 [0.5317967 ]
 [0.53184115]
 [0.43801436]
 [0.55778719]
 [0.46644726]
 [0.51211899]
 [0.51269133]
 [0.46776754]
 [0.5121116 ]
 [0.64306239]
 [0.46680215]
 [0.44390089]
 [0.42348537]
 [0.48837171]
 [0.55503428]
 [0.53201478]
 [0.46590517]
 [0.58139543]
 [0.53840799]
 [0.53768831]
 [0.44421028]
 [0.51108851]
 [0.48937329]
 [0.40042183]
 [0.58140262]
 [0.5348802 ]
 [0.53582873]
 [0.61075281]
 [0.4905334 ]
 [0.53421301]
 [0.55475201]
 [0.53514751]
 [0.42210097]
 [0.51099301]
 [0.42201881]
 [0.48755819]]",52
balanced,0.6,0.13053762512218287,0.6538461538461539,"[[0.47481876]
 [0.40103823]
 [0.47446524]
 [0.45556482]
 [0.55304832]
 [0.56246414]
 [0.60399778]
 [0.50932886]
 [0.55156333]
 [0.48596873]
 [0.4764413 ]
 [0.4673293 ]
 [0.53779557]
 [0.56208624]
 [0.41945683]
 [0.52867426]
 [0.51037944]
 [0.52353945]
 [0.48983213]
 [0.49181598]
 [0.57739071]
 [0.53043878]
 [0.45623531]
 [0.43302229]
 [0.48962761]
 [0.48251435]
 [0.51040985]
 [0.43297407]
 [0.52337417]
 [0.52877868]
 [0.52507608]
 [0.50694902]
 [0.53007781]
 [0.47465684]
 [0.47113418]
 [0.45450058]
 [0.39437068]
 [0.45640114]
 [0.48946732]
 [0.52496697]
 [0.55709572]
 [0.48024222]
 [0.53269331]
 [0.52554451]
 [0.5019279 ]
 [0.65124855]
 [0.45739107]
 [0.50667722]
 [0.44094424]
 [0.45737167]
 [0.51269742]
 [0.40313318]]",52
balanced,0.7,0.13004011404393517,0.6538461538461539,"[[0.46023746]
 [0.56022869]
 [0.49316248]
 [0.48419246]
 [0.45538982]
 [0.48042859]
 [0.52709759]
 [0.51719558]
 [0.48790991]
 [0.5224043 ]
 [0.50502851]
 [0.48695944]
 [0.5807353 ]
 [0.4263236 ]
 [0.51096646]
 [0.48083102]
 [0.4897269 ]
 [0.47961183]
 [0.51833424]
 [0.50668074]
 [0.46376015]
 [0.51771735]
 [0.49606453]
 [0.48041122]
 [0.5083788 ]
 [0.50517971]
 [0.44631691]
 [0.45146118]
 [0.53346404]
 [0.49143834]
 [0.50697178]
 [0.49587754]
 [0.48474028]
 [0.4754105 ]
 [0.52052225]
 [0.4434656 ]
 [0.48713942]
 [0.53075706]
 [0.49853137]
 [0.49299311]
 [0.5191022 ]
 [0.49729405]
 [0.50716855]
 [0.52161704]
 [0.51306475]
 [0.51915089]
 [0.52892975]
 [0.519571  ]
 [0.48682932]
 [0.55219006]
 [0.49113031]
 [0.52292755]]",52
balanced,0.8,0.13018157790028434,0.6538461538461539,"[[0.51163808]
 [0.5061468 ]
 [0.52470333]
 [0.44778939]
 [0.51897642]
 [0.47961919]
 [0.53065876]
 [0.53164765]
 [0.52422685]
 [0.45635262]
 [0.52884636]
 [0.45093073]
 [0.53346782]
 [0.47997479]
 [0.48904752]
 [0.55835764]
 [0.52279244]
 [0.48939666]
 [0.55522301]
 [0.46985683]
 [0.51064691]
 [0.4410035 ]
 [0.51106031]
 [0.52589753]
 [0.47643612]
 [0.54936125]
 [0.49458202]
 [0.49842668]
 [0.52444219]
 [0.45633034]
 [0.47169257]
 [0.53425141]
 [0.5195811 ]
 [0.48903686]
 [0.44866248]
 [0.48315827]
 [0.51869078]
 [0.53122546]
 [0.50896368]
 [0.47578314]
 [0.49114793]
 [0.47901369]
 [0.48688776]
 [0.50100521]
 [0.45160018]
 [0.50838161]
 [0.51336778]
 [0.48654318]
 [0.4732862 ]
 [0.47546466]
 [0.5076392 ]
 [0.50589126]]",52
balanced,0.9,0.1293538994505026,0.6346153846153846,"[[0.52774684]
 [0.51351761]
 [0.50174988]
 [0.48711466]
 [0.48996704]
 [0.46731335]
 [0.52342269]
 [0.50747745]
 [0.51684929]
 [0.50401285]
 [0.4919376 ]
 [0.51000407]
 [0.4871044 ]
 [0.4960603 ]
 [0.4863156 ]
 [0.50100502]
 [0.50501105]
 [0.51049149]
 [0.50513793]
 [0.5128226 ]
 [0.48898568]
 [0.48632101]
 [0.51368686]
 [0.44890943]
 [0.5102836 ]
 [0.48629568]
 [0.51876696]
 [0.50449964]
 [0.45214834]
 [0.48658876]
 [0.52871855]
 [0.52039791]
 [0.49565727]
 [0.50496458]
 [0.52650926]
 [0.5352837 ]
 [0.48995438]
 [0.52887979]
 [0.49519234]
 [0.52477581]
 [0.48720209]
 [0.49593126]
 [0.49600292]
 [0.44542141]
 [0.5134389 ]
 [0.5265421 ]
 [0.48686961]
 [0.51431993]
 [0.57639765]
 [0.50483923]
 [0.47809991]
 [0.48999672]]",52
