id,env,sim_ht,bias,mae
1,unhealthy,0.3230090547985082,0.8,0.11336404993544943
2,balanced,0.642639956366425,0.0,0.10047277514938491
3,unhealthy,0.3831225590144355,0.6,0.11179602525343868
4,healthy,0.5773876029160472,0.5,0.006245915459425988
5,healthy,0.6432659053076188,1.0,0.18744891220390358
6,balanced,0.6037011919791232,0.3,0.10804906323995678
7,healthy,0.4340447993976829,0.1,0.007000595743010651
8,healthy,0.4315601015556446,0.2,0.15182898400731532
9,balanced,0.408134784443,0.4,0.1887508052849038
10,unhealthy,0.5070046061486652,0.3,0.0041390896454677195
11,unhealthy,0.35268989563568237,0.7,0.0929986986029695
12,balanced,0.5368523278942311,0.4,0.008888145816023041
13,healthy,0.5930628928608231,0.6,0.07371855786539672
14,unhealthy,0.40227893037465295,0.3,0.046835015801225455
15,balanced,0.5786535957097422,0.3,0.16939354212267455
16,unhealthy,0.38582330376952434,1.0,0.021122667673642126
17,healthy,0.6923218336345137,0.7,0.12162394648191477
18,unhealthy,0.5111229796367806,0.0,0.005259290775434078
19,balanced,0.6339354370418525,1.0,0.027829615009812625
20,balanced,0.5358663508981917,0.5,9.798334067401271e-05
21,unhealthy,0.5155455887730216,0.5,0.016469460430857286
22,balanced,0.6345840039246932,0.0,0.012285565501425455
23,unhealthy,0.3605633489020348,0.0,0.24497944572332248
24,healthy,0.4098994088804728,0.2,0.02603819208189645
25,healthy,0.3797477676751988,0.4,0.26198776073057717
26,healthy,0.5757029500894616,0.7,0.010150982297649214
27,balanced,0.6544235777928107,0.0,0.03332117169294757
28,healthy,0.6095821131713699,1.0,0.1468985672186519
29,unhealthy,0.38892884472005207,0.9,0.12880000486086945
30,balanced,0.6170205332231821,0.4,0.0479454496290298
31,balanced,0.5974206879514863,0.7,0.04034328475813864
32,healthy,0.6432623191054698,1.0,0.014306651110941315
33,unhealthy,0.49884751145140344,0.5,0.0011524885485965641
34,healthy,0.37123040659976975,0.3,0.03077653358868132
35,balanced,0.6005962459760217,0.0,0.0669037540239783
36,unhealthy,0.37113587720051794,0.4,0.21146736336243233
37,healthy,0.6093170854257476,1.0,0.20142144422948205
38,unhealthy,0.37728183601084586,0.8,0.006125907794600816
39,balanced,0.4959881450144481,0.9,0.01423593237532983
40,healthy,0.5203576852466814,0.6,0.0006186584108217597
41,balanced,0.6434034538066128,0.4,0.021761648904599307
42,unhealthy,0.5620288466784933,0.5,0.03412557313867326
43,balanced,0.5122826839802909,0.3,0.0006160173136241509
44,unhealthy,0.43167513101501337,0.9,0.0029620894617801707
45,healthy,0.6549267974754749,1.0,0.0887097146727911
46,unhealthy,0.6158009654002955,0.1,0.03883793044587247
47,balanced,0.43971027847059524,0.0,0.016612478336255954
48,balanced,0.5808131000940393,0.5,0.015304832344671615
49,healthy,0.6480360966834853,0.8,0.23058210180958882
50,balanced,0.5697156005923159,0.7,0.00981444669641729
51,unhealthy,0.35333488255323375,0.9,0.03046785720215195
52,healthy,0.5779710673976287,0.8,0.10587897753420306
53,unhealthy,0.3247976190646375,0.7,0.06800408832172289
54,healthy,0.5345362128261288,0.8,0.0017396361423290818
55,unhealthy,0.3699063685944039,0.9,0.08618003294047971
56,balanced,0.6201811146528117,0.2,0.07084667008224521
57,healthy,0.3532216157657878,0.1,0.1744866525233192
58,balanced,0.46088220272734065,0.6,0.15685515473566786
59,unhealthy,0.6001822460214977,0.2,0.062345671682481396
60,healthy,0.6923653677212939,0.9,0.000640379945689995
61,unhealthy,0.6034917011540962,0.3,0.2404904970998738
62,balanced,0.5842246219123802,0.2,0.03616885545640991
