env,learning_rate,bias,step,mean_ht
healthy,0.2,1.0,0,0.5009967645695947
healthy,0.2,1.0,1,0.5007974116556757
healthy,0.2,1.0,2,0.5130679293245408
healthy,0.2,1.0,3,0.527116565681855
healthy,0.2,1.0,4,0.5403517525454835
healthy,0.2,1.0,5,0.5522180420363871
healthy,0.2,1.0,6,0.5626268780735542
healthy,0.2,1.0,7,0.5715576657241496
healthy,0.2,1.0,8,0.5791253825793196
healthy,0.2,1.0,9,0.5855319110017275
healthy,0.2,1.0,10,0.590939768801382
healthy,0.2,1.0,11,0.5954929059501963
healthy,0.2,1.0,12,0.599312991426824
healthy,0.2,1.0,13,0.6025296830822876
healthy,0.2,1.0,14,0.6052366036086873
healthy,0.2,1.0,15,0.6075311139980609
healthy,0.2,1.0,16,0.6094604849484488
healthy,0.2,1.0,17,0.6110874191006276
healthy,0.2,1.0,18,0.6124762315767983
healthy,0.2,1.0,19,0.6136654395550676
healthy,0.2,1.0,20,0.6146919316440541
healthy,0.2,1.0,21,0.6155711416871253
healthy,0.2,1.0,22,0.6163259050852375
healthy,0.2,1.0,23,0.6169780775653544
healthy,0.4,1.0,0,0.5000898098901604
healthy,0.4,1.0,1,0.5000538859340962
healthy,0.4,1.0,2,0.5253443315604577
healthy,0.4,1.0,3,0.5486625989362746
healthy,0.4,1.0,4,0.5666465593617648
healthy,0.4,1.0,5,0.5799104956170589
healthy,0.4,1.0,6,0.5895978529257906
healthy,0.4,1.0,7,0.5966726709391479
healthy,0.4,1.0,8,0.6018471025634888
healthy,0.4,1.0,9,0.6056400146245131
healthy,0.4,1.0,10,0.6084179287747079
healthy,0.4,1.0,11,0.6105220961078
healthy,0.4,1.0,12,0.61219225766468
healthy,0.4,1.0,13,0.6134998753088672
healthy,0.4,1.0,14,0.6145498843689936
healthy,0.4,1.0,15,0.6154050595102852
healthy,0.4,1.0,16,0.6161447232061711
healthy,0.4,1.0,17,0.6167892283873706
healthy,0.4,1.0,18,0.6173600555509409
healthy,0.4,1.0,19,0.617843401751617
healthy,0.4,1.0,20,0.6182641210509704
healthy,0.4,1.0,21,0.6186357152609674
healthy,0.4,1.0,22,0.6189686688260021
healthy,0.4,1.0,23,0.6192625774770757
healthy,0.6,1.0,0,0.49930790705954026
healthy,0.6,1.0,1,0.4997231628238161
healthy,0.6,1.0,2,0.5369392651295265
healthy,0.6,1.0,3,0.5643757060518103
healthy,0.6,1.0,4,0.5816957824207243
healthy,0.6,1.0,5,0.5923384729682897
healthy,0.6,1.0,6,0.5992040558539824
healthy,0.6,1.0,7,0.6038674182599602
healthy,0.6,1.0,8,0.6070954673039841
healthy,0.6,1.0,9,0.6094426313660383
healthy,0.6,1.0,10,0.6111661725464153
healthy,0.6,1.0,11,0.6125503037293099
healthy,0.6,1.0,12,0.6137254548250571
healthy,0.6,1.0,13,0.6146517913974786
healthy,0.6,1.0,14,0.6154609614569506
healthy,0.6,1.0,15,0.616140331249447
healthy,0.6,1.0,16,0.616753726249779
healthy,0.6,1.0,17,0.6172382379047557
healthy,0.6,1.0,18,0.6176562581248654
healthy,0.6,1.0,19,0.6180077664078409
healthy,0.6,1.0,20,0.6183841665631362
healthy,0.6,1.0,21,0.6187298298905604
healthy,0.6,1.0,22,0.6190184278239932
healthy,0.6,1.0,23,0.6193068493904665
healthy,0.8,1.0,0,0.500944240128668
healthy,0.8,1.0,1,0.5001888480257337
healthy,0.8,1.0,2,0.5499017696051466
healthy,0.8,1.0,3,0.5767785761432517
healthy,0.8,1.0,4,0.5902177152286504
healthy,0.8,1.0,5,0.59781442304573
healthy,0.8,1.0,6,0.6026837734980349
healthy,0.8,1.0,7,0.6060035302098109
healthy,0.8,1.0,8,0.6085527060419622
healthy,0.8,1.0,9,0.6105682202207381
healthy,0.8,1.0,10,0.6121254840441478
healthy,0.8,1.0,11,0.6133397414369286
healthy,0.8,1.0,12,0.6143728371762748
healthy,0.8,1.0,13,0.6152155851867342
healthy,0.8,1.0,14,0.6159342190781629
healthy,0.8,1.0,15,0.6165554482600769
healthy,0.8,1.0,16,0.6171229646520158
healthy,0.8,1.0,17,0.6176418939684655
healthy,0.8,1.0,18,0.618044329410977
healthy,0.8,1.0,19,0.6184102398434143
healthy,0.8,1.0,20,0.6187444479686828
healthy,0.8,1.0,21,0.619045252405528
healthy,0.8,1.0,22,0.6193492157703617
healthy,0.8,1.0,23,0.6195884367268512
healthy,1.0,1.0,0,0.49901432797451295
healthy,1.0,1.0,1,0.5
healthy,1.0,1.0,2,0.56284
healthy,1.0,1.0,3,0.5835377777777776
healthy,1.0,1.0,4,0.5936549999999999
healthy,1.0,1.0,5,0.600152
healthy,1.0,1.0,6,0.6042177777777777
healthy,1.0,1.0,7,0.6071624489795918
healthy,1.0,1.0,8,0.609265625
healthy,1.0,1.0,9,0.6109303703703702
healthy,1.0,1.0,10,0.6123188
healthy,1.0,1.0,11,0.61355173553719
healthy,1.0,1.0,12,0.6144516666666666
healthy,1.0,1.0,13,0.6153114792899409
healthy,1.0,1.0,14,0.6160491836734693
healthy,1.0,1.0,15,0.6166517333333336
healthy,1.0,1.0,16,0.6171592187499999
healthy,1.0,1.0,17,0.6175588927335642
healthy,1.0,1.0,18,0.6179060493827159
healthy,1.0,1.0,19,0.6182515235457062
healthy,1.0,1.0,20,0.6185957999999999
healthy,1.0,1.0,21,0.618883537414966
healthy,1.0,1.0,22,0.6191583471074381
healthy,1.0,1.0,23,0.619449451795841
unhealthy,0.2,1.0,0,0.4987874923676147
unhealthy,0.2,1.0,1,0.49902999389409175
unhealthy,0.2,1.0,2,0.4865859951152735
unhealthy,0.2,1.0,3,0.4724821294255521
unhealthy,0.2,1.0,4,0.45921670354044186
unhealthy,0.2,1.0,5,0.44730360283235343
unhealthy,0.2,1.0,6,0.43693399337699385
unhealthy,0.2,1.0,7,0.4280502151097583
unhealthy,0.2,1.0,8,0.42049642208780663
unhealthy,0.2,1.0,9,0.4141402487813564
unhealthy,0.2,1.0,10,0.40879483902508534
unhealthy,0.2,1.0,11,0.40430985469114267
unhealthy,0.2,1.0,12,0.4005106615306918
unhealthy,0.2,1.0,13,0.397316316206802
unhealthy,0.2,1.0,14,0.39461917541442126
unhealthy,0.2,1.0,15,0.39234454922042594
unhealthy,0.2,1.0,16,0.39043013937634075
unhealthy,0.2,1.0,17,0.388824554407647
unhealthy,0.2,1.0,18,0.3874617916742656
unhealthy,0.2,1.0,19,0.38629087378262583
unhealthy,0.2,1.0,20,0.38527881902610084
unhealthy,0.2,1.0,21,0.3844144203002459
unhealthy,0.2,1.0,22,0.3836697345873041
unhealthy,0.2,1.0,23,0.3830233944751364
unhealthy,0.4,1.0,0,0.4990978038100099
unhealthy,0.4,1.0,1,0.49945868228600593
unhealthy,0.4,1.0,2,0.4744672093716035
unhealthy,0.4,1.0,3,0.4514287700674066
unhealthy,0.4,1.0,4,0.433355262040444
unhealthy,0.4,1.0,5,0.42002531722426634
unhealthy,0.4,1.0,6,0.41042807922344876
unhealthy,0.4,1.0,7,0.4034117863095794
unhealthy,0.4,1.0,8,0.3983093217857476
unhealthy,0.4,1.0,9,0.39469186467638695
unhealthy,0.4,1.0,10,0.391890798805832
unhealthy,0.4,1.0,11,0.38974155366366436
unhealthy,0.4,1.0,12,0.38807770997597646
unhealthy,0.4,1.0,13,0.38675545438795267
unhealthy,0.4,1.0,14,0.38570372161236344
unhealthy,0.4,1.0,15,0.3848039929674181
unhealthy,0.4,1.0,16,0.38406458328045096
unhealthy,0.4,1.0,17,0.38342886761532946
unhealthy,0.4,1.0,18,0.38288008600129636
unhealthy,0.4,1.0,19,0.3824066111575645
unhealthy,0.4,1.0,20,0.3819878066945387
unhealthy,0.4,1.0,21,0.38162250714597495
unhealthy,0.4,1.0,22,0.38128652908097327
unhealthy,0.4,1.0,23,0.38099945620094694
unhealthy,0.6,1.0,0,0.5006204951132942
unhealthy,0.6,1.0,1,0.5002481980453177
unhealthy,0.6,1.0,2,0.46305527921812717
unhealthy,0.6,1.0,3,0.4354834450205842
unhealthy,0.6,1.0,4,0.41798537800823365
unhealthy,0.6,1.0,5,0.40705111120329357
unhealthy,0.6,1.0,6,0.4002977778146507
unhealthy,0.6,1.0,7,0.39578392745239094
unhealthy,0.6,1.0,8,0.39265782098095636
unhealthy,0.6,1.0,9,0.39038431357756775
unhealthy,0.6,1.0,10,0.38859324543102697
unhealthy,0.6,1.0,11,0.3873169675938984
unhealthy,0.6,1.0,12,0.38625045370422595
unhealthy,0.6,1.0,13,0.38530676136334713
unhealthy,0.6,1.0,14,0.3845198882188084
unhealthy,0.6,1.0,15,0.38386384862085676
unhealthy,0.6,1.0,16,0.3833069144483426
unhealthy,0.6,1.0,17,0.3828012986513094
unhealthy,0.6,1.0,18,0.3823071861271904
unhealthy,0.6,1.0,19,0.3818850683566934
unhealthy,0.6,1.0,20,0.3815232273426773
unhealthy,0.6,1.0,21,0.38118191678741126
unhealthy,0.6,1.0,22,0.38087972539265036
unhealthy,0.6,1.0,23,0.38060005650866685
unhealthy,0.8,1.0,0,0.4994497212758726
unhealthy,0.8,1.0,1,0.4998899442551745
unhealthy,0.8,1.0,2,0.4500579888510348
unhealthy,0.8,1.0,3,0.42342315332576247
unhealthy,0.8,1.0,4,0.40967463066515236
unhealthy,0.8,1.0,5,0.40206932613303054
unhealthy,0.8,1.0,6,0.397174754115495
unhealthy,0.8,1.0,7,0.39376703245575206
unhealthy,0.8,1.0,8,0.3913214064911502
unhealthy,0.8,1.0,9,0.3894097627797114
unhealthy,0.8,1.0,10,0.38789315255594237
unhealthy,0.8,1.0,11,0.38667853133763475
unhealthy,0.8,1.0,12,0.3856754840453048
unhealthy,0.8,1.0,13,0.384834221069416
unhealthy,0.8,1.0,14,0.3840780278873525
unhealthy,0.8,1.0,15,0.38347843224413714
unhealthy,0.8,1.0,16,0.38296381144882735
unhealthy,0.8,1.0,17,0.38245496298180703
unhealthy,0.8,1.0,18,0.3820454617321639
unhealthy,0.8,1.0,19,0.3816948541192859
unhealthy,0.8,1.0,20,0.3814232908238571
unhealthy,0.8,1.0,21,0.3810750799334789
unhealthy,0.8,1.0,22,0.3808088011106626
unhealthy,0.8,1.0,23,0.38054503432421205
unhealthy,1.0,1.0,0,0.4994366720160208
unhealthy,1.0,1.0,1,0.5
unhealthy,1.0,1.0,2,0.4370500000000001
unhealthy,1.0,1.0,3,0.4164888888888889
unhealthy,1.0,1.0,4,0.40631749999999994
unhealthy,1.0,1.0,5,0.39990559999999997
unhealthy,1.0,1.0,6,0.3957333333333334
unhealthy,1.0,1.0,7,0.3927567346938776
unhealthy,1.0,1.0,8,0.3905056250000002
unhealthy,1.0,1.0,9,0.3889461728395062
unhealthy,1.0,1.0,10,0.3876108
unhealthy,1.0,1.0,11,0.38640231404958664
unhealthy,1.0,1.0,12,0.38537388888888885
unhealthy,1.0,1.0,13,0.38457159763313614
unhealthy,1.0,1.0,14,0.3837922448979593
unhealthy,1.0,1.0,15,0.3832478222222222
unhealthy,1.0,1.0,16,0.38274640624999995
unhealthy,1.0,1.0,17,0.3822989619377162
unhealthy,1.0,1.0,18,0.3817664197530864
unhealthy,1.0,1.0,19,0.3814196121883656
unhealthy,1.0,1.0,20,0.3811031
unhealthy,1.0,1.0,21,0.3807960997732426
unhealthy,1.0,1.0,22,0.3805020661157025
unhealthy,1.0,1.0,23,0.38027773156899825
balanced,0.2,1.0,0,0.49911750743774974
balanced,0.2,1.0,1,0.4992940059501999
balanced,0.2,1.0,2,0.4996552047601599
balanced,0.2,1.0,3,0.4998708304747946
balanced,0.2,1.0,4,0.49995916437983573
balanced,0.2,1.0,5,0.4999961315038686
balanced,0.2,1.0,6,0.500030905203095
balanced,0.2,1.0,7,0.5000490506930884
balanced,0.2,1.0,8,0.5000828655544706
balanced,0.2,1.0,9,0.5000725146657987
balanced,0.2,1.0,10,0.500070331732639
balanced,0.2,1.0,11,0.500073918278673
balanced,0.2,1.0,12,0.500080856845161
balanced,0.2,1.0,13,0.5000935138784955
balanced,0.2,1.0,14,0.5001038315109597
balanced,0.2,1.0,15,0.5001234563198789
balanced,0.2,1.0,16,0.5001540150559033
balanced,0.2,1.0,17,0.5001836964737882
balanced,0.2,1.0,18,0.5001956732284134
balanced,0.2,1.0,19,0.5002128931533679
balanced,0.2,1.0,20,0.5002121945226944
balanced,0.2,1.0,21,0.5001965311283595
balanced,0.2,1.0,22,0.500167390191944
balanced,0.2,1.0,23,0.5001455567660316
balanced,0.4,1.0,0,0.49923424475277156
balanced,0.4,1.0,1,0.4995405468516631
balanced,0.4,1.0,2,0.49943632811099803
balanced,0.4,1.0,3,0.49930801908882094
balanced,0.4,1.0,4,0.4990798114532924
balanced,0.4,1.0,5,0.49907220687197557
balanced,0.4,1.0,6,0.49907176856762964
balanced,0.4,1.0,7,0.49917922440588397
balanced,0.4,1.0,8,0.49938778464353034
balanced,0.4,1.0,9,0.49941025103303177
balanced,0.4,1.0,10,0.49944215061981917
balanced,0.4,1.0,11,0.49948862921486686
balanced,0.4,1.0,12,0.49952884419558663
balanced,0.4,1.0,13,0.49956791006764784
balanced,0.4,1.0,14,0.49963495012222153
balanced,0.4,1.0,15,0.49969250785111075
balanced,0.4,1.0,16,0.49972519221066636
balanced,0.4,1.0,17,0.49975882466896043
balanced,0.4,1.0,18,0.4997887762828577
balanced,0.4,1.0,19,0.49981214665614115
balanced,0.4,1.0,20,0.4998511679936847
balanced,0.4,1.0,21,0.4999217665558482
balanced,0.4,1.0,22,0.49994605166904593
balanced,0.4,1.0,23,0.4999653625704258
balanced,0.6,1.0,0,0.5003278756878212
balanced,0.6,1.0,1,0.5001311502751286
balanced,0.6,1.0,2,0.5007244601100515
balanced,0.6,1.0,3,0.49999911737735386
balanced,0.6,1.0,4,0.5000401469509416
balanced,0.6,1.0,5,0.5001110987803764
balanced,0.6,1.0,6,0.5001191061788175
balanced,0.6,1.0,7,0.5000491118592822
balanced,0.6,1.0,8,0.4999671447437129
balanced,0.6,1.0,9,0.49987959863822584
balanced,0.6,1.0,10,0.4998939994552905
balanced,0.6,1.0,11,0.4997895997821161
balanced,0.6,1.0,12,0.4997596732461796
balanced,0.6,1.0,13,0.4997500704819039
balanced,0.6,1.0,14,0.49975847717235355
balanced,0.6,1.0,15,0.4997571508689413
balanced,0.6,1.0,16,0.4997791103475766
balanced,0.6,1.0,17,0.49982801784145275
balanced,0.6,1.0,18,0.4998597256550999
balanced,0.6,1.0,19,0.49987754123156897
balanced,0.6,1.0,20,0.49989551649262753
balanced,0.6,1.0,21,0.4998927916310648
balanced,0.6,1.0,22,0.4998997943383763
balanced,0.6,1.0,23,0.4999076530850668
balanced,0.8,1.0,0,0.4995499562022836
balanced,0.8,1.0,1,0.4999099912404565
balanced,0.8,1.0,2,0.49999799824809144
balanced,0.8,1.0,3,0.49986804409406266
balanced,0.8,1.0,4,0.49999760881881267
balanced,0.8,1.0,5,0.4999624017637625
balanced,0.8,1.0,6,0.5000475914638637
balanced,0.8,1.0,7,0.49979662033358907
balanced,0.8,1.0,8,0.49958482406671784
balanced,0.8,1.0,9,0.4994970141960596
balanced,0.8,1.0,10,0.4995570028392119
balanced,0.8,1.0,11,0.4995657476752802
balanced,0.8,1.0,12,0.4996389273128339
balanced,0.8,1.0,13,0.49971060203061396
balanced,0.8,1.0,14,0.4996784469367351
balanced,0.8,1.0,15,0.4997643116095692
balanced,0.8,1.0,16,0.49977023732191383
balanced,0.8,1.0,17,0.49981807514604354
balanced,0.8,1.0,18,0.499831763177357
balanced,0.8,1.0,19,0.4998049343529229
balanced,0.8,1.0,20,0.4998197868705845
balanced,0.8,1.0,21,0.49982108209067005
balanced,0.8,1.0,22,0.49983608418672915
balanced,0.8,1.0,23,0.49988422250842324
balanced,1.0,1.0,0,0.5006141158475228
balanced,1.0,1.0,1,0.5
balanced,1.0,1.0,2,0.49862
balanced,1.0,1.0,3,0.4998222222222223
balanced,1.0,1.0,4,0.49958250000000004
balanced,1.0,1.0,5,0.5000096000000002
balanced,1.0,1.0,6,0.5000755555555555
balanced,1.0,1.0,7,0.5001934693877552
balanced,1.0,1.0,8,0.5000325
balanced,1.0,1.0,9,0.5000627160493827
balanced,1.0,1.0,10,0.5000252000000001
balanced,1.0,1.0,11,0.49996264462809903
balanced,1.0,1.0,12,0.49992944444444454
balanced,1.0,1.0,13,0.49989609467455637
balanced,1.0,1.0,14,0.4999104081632653
balanced,1.0,1.0,15,0.4999276444444445
balanced,1.0,1.0,16,0.49988593750000015
balanced,1.0,1.0,17,0.49979764705882324
balanced,1.0,1.0,18,0.4998034567901232
balanced,1.0,1.0,19,0.4998535180055403
balanced,1.0,1.0,20,0.4998463
balanced,1.0,1.0,21,0.49980390022675747
balanced,1.0,1.0,22,0.49985016528925624
balanced,1.0,1.0,23,0.4998710775047258
